[17:41:670] [FINE  ] WHITE's scenario: -10 
[17:41:670] [FINE  ] 1 - score: -10 
[17:41:670] [FINE  ] 1 - Try placing BLACK at: 6,8 
[17:41:672] [FINE  ] WHITE's scenario: -10 
[17:41:673] [FINE  ] 1 - score: -10 
[17:41:673] [FINE  ] 1 - Try placing BLACK at: 7,8 
[17:41:675] [FINE  ] WHITE's scenario: -10 
[17:41:676] [FINE  ] 1 - score: -10 
[17:41:676] [FINE  ] 1 - Try placing BLACK at: 3,8 
[17:41:677] [FINE  ] WHITE's scenario: -40 
[17:41:678] [FINE  ] 1 - score: -40 
[17:41:678] [FINE  ] 1 - Try placing BLACK at: 4,5 
[17:41:679] [FINE  ] WHITE's scenario: -40 
[17:41:679] [FINE  ] 1 - score: -40 
[17:41:680] [FINE  ] 1 - Try placing BLACK at: 4,6 
[17:41:681] [FINE  ] WHITE's scenario: -40 
[17:41:681] [FINE  ] 1 - score: -40 
[17:41:682] [FINE  ] 1 - Try placing BLACK at: 4,8 
[17:41:683] [FINE  ] WHITE's scenario: -40 
